ID:,DF692435CB1C3125,,,,
Temperature Unit of Measure is Celsius,,,,,
Date format is MM/DD/YYYY,,,,,
Start Time and Date,,10:00,1/20/2021,,
Stop Time and Date,,16:45,2/3/2021,,
,,,,,
Minimum Temperature,,,,,
P1,2.31,13:57,1/27/2021,,
P2,  --.--,--:--,--/--/----,,
,,,,,
Maximum Temperature,,,,,
P1,6.1,14:08,1/29/2021,,
P2,  --.--,--:--,--/--/----,,
,,,,,
Alarm Event Data,,,,,
Probe,Temp,Time Out,Date Out,Time In,Date In
,,,,,
Temperature Data,,,,,
P1,P2,Time,Date,,
2.51, --.--,12:00,1/29/2021,,
2.86, --.--,11:45,1/29/2021,,
3.52, --.--,11:30,1/29/2021,,
4.26, --.--,11:15,1/29/2021,,
4.96, --.--,11:00,1/29/2021,,
5.62, --.--,10:45,1/29/2021,,
5.77, --.--,10:30,1/29/2021,,
4.59, --.--,10:15,1/29/2021,,
3.1, --.--,10:00,1/29/2021,,
2.5, --.--,9:45,1/29/2021,,
2.91, --.--,9:30,1/29/2021,,
3.58, --.--,9:15,1/29/2021,,
4.28, --.--,9:00,1/29/2021,,
4.94, --.--,8:45,1/29/2021,,
5.55, --.--,8:30,1/29/2021,,
5.82, --.--,8:15,1/29/2021,,
5.07, --.--,8:00,1/29/2021,,
3.93, --.--,7:45,1/29/2021,,
2.83, --.--,7:30,1/29/2021,,
2.52, --.--,7:15,1/29/2021,,
2.8, --.--,7:00,1/29/2021,,
3.22, --.--,6:45,1/29/2021,,
3.72, --.--,6:30,1/29/2021,,
4.15, --.--,6:15,1/29/2021,,
4.5, --.--,6:00,1/29/2021,,
4.87, --.--,5:45,1/29/2021,,
5.23, --.--,5:30,1/29/2021,,
5.57, --.--,5:15,1/29/2021,,
5.77, --.--,5:00,1/29/2021,,
5.56, --.--,4:45,1/29/2021,,
5.14, --.--,4:30,1/29/2021,,
4.63, --.--,4:15,1/29/2021,,
3.96, --.--,4:00,1/29/2021,,
3.34, --.--,3:45,1/29/2021,,
2.77, --.--,3:30,1/29/2021,,
2.5, --.--,3:15,1/29/2021,,
2.59, --.--,3:00,1/29/2021,,
2.8, --.--,2:45,1/29/2021,,
3.1, --.--,2:30,1/29/2021,,
3.45, --.--,2:15,1/29/2021,,
3.78, --.--,2:00,1/29/2021,,
4.16, --.--,1:45,1/29/2021,,
4.51, --.--,1:30,1/29/2021,,
4.82, --.--,1:15,1/29/2021,,
5.15, --.--,1:00,1/29/2021,,
5.49, --.--,0:45,1/29/2021,,
5.74, --.--,0:30,1/29/2021,,
5.64, --.--,0:15,1/29/2021,,
5.21, --.--,0:00,1/29/2021,,
4.72, --.--,23:45,1/28/2021,,
4.1, --.--,23:30,1/28/2021,,
3.48, --.--,23:15,1/28/2021,,
2.86, --.--,23:00,1/28/2021,,
2.53, --.--,22:45,1/28/2021,,
2.56, --.--,22:30,1/28/2021,,
2.75, --.--,22:15,1/28/2021,,
3.07, --.--,22:00,1/28/2021,,
3.44, --.--,21:45,1/28/2021,,
3.85, --.--,21:30,1/28/2021,,
4.22, --.--,21:15,1/28/2021,,
4.66, --.--,21:00,1/28/2021,,
5.08, --.--,20:45,1/28/2021,,
5.52, --.--,20:30,1/28/2021,,
5.8, --.--,20:15,1/28/2021,,
